algorithm,faults,cachesize,clockfreq,input
random,1960,1,1,8020
random,1554,10,1,8020
random,190,100,1,8020
random,201,101,1,8020
random,180,102,1,8020
random,184,103,1,8020
random,182,104,1,8020
random,186,105,1,8020
random,174,106,1,8020
random,188,107,1,8020
random,199,108,1,8020
random,156,109,1,8020
random,1542,11,1,8020
random,174,110,1,8020
random,164,111,1,8020
random,159,112,1,8020
random,159,113,1,8020
random,151,114,1,8020
random,152,115,1,8020
random,151,116,1,8020
random,134,117,1,8020
random,140,118,1,8020
random,138,119,1,8020
random,1436,12,1,8020
random,126,120,1,8020
random,125,121,1,8020
random,130,122,1,8020
random,134,123,1,8020
random,123,124,1,8020
random,130,125,1,8020
random,126,126,1,8020
random,127,127,1,8020
random,1476,13,1,8020
random,1365,14,1,8020
random,1350,15,1,8020
random,1291,16,1,8020
random,1256,17,1,8020
random,1189,18,1,8020
random,1222,19,1,8020
random,1912,2,1,8020
random,1160,20,1,8020
random,1071,21,1,8020
random,1150,22,1,8020
random,1055,23,1,8020
random,996,24,1,8020
random,1013,25,1,8020
random,949,26,1,8020
random,978,27,1,8020
random,926,28,1,8020
random,879,29,1,8020
random,1845,3,1,8020
random,885,30,1,8020
random,837,31,1,8020
random,852,32,1,8020
random,846,33,1,8020
random,808,34,1,8020
random,737,35,1,8020
random,772,36,1,8020
random,773,37,1,8020
random,710,38,1,8020
random,684,39,1,8020
random,1822,4,1,8020
random,650,40,1,8020
random,641,41,1,8020
random,663,42,1,8020
random,654,43,1,8020
random,588,44,1,8020
random,624,45,1,8020
random,588,46,1,8020
random,591,47,1,8020
random,627,48,1,8020
random,560,49,1,8020
random,1765,5,1,8020
random,518,50,1,8020
random,505,51,1,8020
random,517,52,1,8020
random,515,53,1,8020
random,504,54,1,8020
random,508,55,1,8020
random,474,56,1,8020
random,435,57,1,8020
random,437,58,1,8020
random,469,59,1,8020
random,1722,6,1,8020
random,476,60,1,8020
random,451,61,1,8020
random,403,62,1,8020
random,428,63,1,8020
random,412,64,1,8020
random,416,65,1,8020
random,406,66,1,8020
random,380,67,1,8020
random,343,68,1,8020
random,310,69,1,8020
random,1653,7,1,8020
random,351,70,1,8020
random,329,71,1,8020
random,311,72,1,8020
random,340,73,1,8020
random,302,74,1,8020
random,318,75,1,8020
random,314,76,1,8020
random,318,77,1,8020
random,292,78,1,8020
random,294,79,1,8020
random,1595,8,1,8020
random,295,80,1,8020
random,265,81,1,8020
random,283,82,1,8020
random,266,83,1,8020
random,251,84,1,8020
random,290,85,1,8020
random,266,86,1,8020
random,249,87,1,8020
random,227,88,1,8020
random,236,89,1,8020
random,1573,9,1,8020
random,228,90,1,8020
random,208,91,1,8020
random,214,92,1,8020
random,216,93,1,8020
random,177,94,1,8020
random,211,95,1,8020
random,224,96,1,8020
random,174,97,1,8020
random,195,98,1,8020
random,196,99,1,8020
fifo,1960,1,1,8020
fifo,1563,10,1,8020
fifo,178,100,1,8020
fifo,194,101,1,8020
fifo,192,102,1,8020
fifo,210,103,1,8020
fifo,177,104,1,8020
fifo,186,105,1,8020
fifo,192,106,1,8020
fifo,186,107,1,8020
fifo,189,108,1,8020
fifo,175,109,1,8020
fifo,1509,11,1,8020
fifo,172,110,1,8020
fifo,172,111,1,8020
fifo,175,112,1,8020
fifo,173,113,1,8020
fifo,165,114,1,8020
fifo,160,115,1,8020
fifo,171,116,1,8020
fifo,146,117,1,8020
fifo,161,118,1,8020
fifo,152,119,1,8020
fifo,1449,12,1,8020
fifo,139,120,1,8020
fifo,138,121,1,8020
fifo,137,122,1,8020
fifo,138,123,1,8020
