algorithm,faults,cachesize,clockfreq,input
random,2000,1,1,belady
random,2000,10,1,belady
random,842,100,1,belady
random,823,101,1,belady
random,823,102,1,belady
random,791,103,1,belady
random,772,104,1,belady
random,739,105,1,belady
random,707,106,1,belady
random,688,107,1,belady
random,639,108,1,belady
random,627,109,1,belady
random,2000,11,1,belady
random,593,110,1,belady
random,581,111,1,belady
random,555,112,1,belady
random,524,113,1,belady
random,500,114,1,belady
random,441,115,1,belady
random,426,116,1,belady
random,392,117,1,belady
random,389,118,1,belady
random,360,119,1,belady
random,2000,12,1,belady
random,332,120,1,belady
random,302,121,1,belady
random,258,122,1,belady
random,240,123,1,belady
random,210,124,1,belady
random,183,125,1,belady
random,153,126,1,belady
random,127,127,1,belady
random,2000,13,1,belady
random,1999,14,1,belady
random,2000,15,1,belady
random,2000,16,1,belady
random,2000,17,1,belady
random,1996,18,1,belady
random,1999,19,1,belady
random,2000,2,1,belady
random,1999,20,1,belady
random,1999,21,1,belady
random,1997,22,1,belady
random,1993,23,1,belady
random,1990,24,1,belady
random,1988,25,1,belady
random,1985,26,1,belady
random,1977,27,1,belady
random,1982,28,1,belady
random,1974,29,1,belady
random,2000,3,1,belady
random,1971,30,1,belady
random,1966,31,1,belady
random,1955,32,1,belady
random,1960,33,1,belady
random,1955,34,1,belady
random,1945,35,1,belady
random,1941,36,1,belady
random,1940,37,1,belady
random,1928,38,1,belady
random,1913,39,1,belady
random,2000,4,1,belady
random,1906,40,1,belady
random,1904,41,1,belady
random,1893,42,1,belady
random,1891,43,1,belady
random,1875,44,1,belady
random,1856,45,1,belady
random,1858,46,1,belady
random,1850,47,1,belady
random,1838,48,1,belady
random,1818,49,1,belady
random,2000,5,1,belady
random,1828,50,1,belady
random,1813,51,1,belady
random,1806,52,1,belady
random,1771,53,1,belady
random,1758,54,1,belady
random,1757,55,1,belady
random,1748,56,1,belady
random,1698,57,1,belady
random,1701,58,1,belady
random,1693,59,1,belady
random,2000,6,1,belady
random,1670,60,1,belady
random,1661,61,1,belady
random,1657,62,1,belady
random,1637,63,1,belady
random,1596,64,1,belady
random,1592,65,1,belady
random,1576,66,1,belady
random,1567,67,1,belady
random,1556,68,1,belady
random,1550,69,1,belady
random,2000,7,1,belady
random,1519,70,1,belady
random,1508,71,1,belady
random,1472,72,1,belady
random,1451,73,1,belady
random,1448,74,1,belady
random,1418,75,1,belady
random,1403,76,1,belady
random,1371,77,1,belady
random,1349,78,1,belady
random,1342,79,1,belady
random,2000,8,1,belady
random,1314,80,1,belady
random,1306,81,1,belady
random,1283,82,1,belady
random,1255,83,1,belady
random,1238,84,1,belady
random,1205,85,1,belady
random,1194,86,1,belady
random,1163,87,1,belady
random,1147,88,1,belady
random,1125,89,1,belady
random,2000,9,1,belady
random,1112,90,1,belady
random,1087,91,1,belady
random,1034,92,1,belady
random,1026,93,1,belady
random,979,94,1,belady
random,969,95,1,belady
random,955,96,1,belady
random,954,97,1,belady
random,907,98,1,belady
random,904,99,1,belady
fifo,2000,1,1,belady
fifo,2000,10,1,belady
fifo,2000,100,1,belady
fifo,2000,101,1,belady
fifo,2000,102,1,belady
fifo,2000,103,1,belady
fifo,2000,104,1,belady
fifo,2000,105,1,belady
fifo,2000,106,1,belady
fifo,2000,107,1,belady
fifo,2000,108,1,belady
fifo,2000,109,1,belady
fifo,2000,11,1,belady
fifo,2000,110,1,belady
fifo,2000,111,1,belady
fifo,2000,112,1,belady
fifo,2000,113,1,belady
fifo,2000,114,1,belady
fifo,2000,115,1,belady
fifo,2000,116,1,belady
fifo,2000,117,1,belady
fifo,2000,118,1,belady
fifo,2000,119,1,belady
fifo,2000,12,1,belady
fifo,2000,120,1,belady
fifo,2000,121,1,belady
fifo,2000,122,1,belady
fifo,2000,123,1,belady
fifo,2000,124,1,belady
fifo,2000,125,1,belady
fifo,2000,126,1,belady
fifo,127,127,1,belady
fifo,2000,13,1,belady
fifo,2000,14,1,belady
fifo,2000,15,1,belady
fifo,2000,16,1,belady
fifo,2000,17,1,belady
fifo,2000,18,1,belady
fifo,2000,19,1,belady
fifo,2000,2,1,belady
fifo,2000,20,1,belady
fifo,2000,21,1,belady
fifo,2000,22,1,belady
fifo,2000,23,1,belady
fifo,2000,24,1,belady
fifo,2000,25,1,belady
fifo,2000,26,1,belady
fifo,2000,27,1,belady
fifo,2000,28,1,belady
fifo,2000,29,1,belady
fifo,2000,3,1,belady
fifo,2000,30,1,belady
fifo,2000,31,1,belady
fifo,2000,32,1,belady
fifo,2000,33,1,belady
fifo,2000,34,1,belady
fifo,2000,35,1,belady
fifo,2000,36,1,belady
fifo,2000,37,1,belady
